"Part";"Value";"Device";"Package";"Description";"SPICEPREFIX";
"C1";"100nF";"C-USC0603K";"C0603K";"CAPACITOR, American symbol";"C";
"C2";"100nF";"C-USC0603K";"C0603K";"CAPACITOR, American symbol";"C";
"C3";"10uF";"CPOL-USE2-5";"E2-5";"POLARIZED CAPACITOR, American symbol";"C";
"C4";"10uF";"CPOL-USE2-5";"E2-5";"POLARIZED CAPACITOR, American symbol";"C";
"C5";"470nF";"C-USC0603K";"C0603K";"CAPACITOR, American symbol";"C";
"IC1";"TL072D";"TL072D";"SO08";"OP AMP";"";
"JP1";"";"PINHD-2X5";"2X05";"PIN HEADER";"";
"P1";"47k";"US-EVUF2A";"EVUF";"9 mm Square Rotary Potentiometers";"";
"P2";"47k";"US-EVUF2A";"EVUF";"9 mm Square Rotary Potentiometers";"";
"P3";"47k";"US-EVUF2A";"EVUF";"9 mm Square Rotary Potentiometers";"";
"R1";"10k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"R";
"R2";"1k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"R";
"R6";"100k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"R";
"R7";"100k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"R";
"R8";"100k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"R";
"R10";"100k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"R";
"R11";"100k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"R";
"R12";"100k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"R";
"U$1";"WQP-PJ301M-12_JACK";"WQP-PJ301M-12_JACK";"WQP-PJ301M-12_JACK";"";"";
"U$2";"WQP-PJ301M-12_JACK";"WQP-PJ301M-12_JACK";"WQP-PJ301M-12_JACK";"";"";
"U$3";"WQP-PJ301M-12_JACK";"WQP-PJ301M-12_JACK";"WQP-PJ301M-12_JACK";"";"";
"U$5";"WQP-PJ301M-12_JACK";"WQP-PJ301M-12_JACK";"WQP-PJ301M-12_JACK";"";"";
